Category,Sub-Group,Item Name,Subtitle,Description,Price
Starters,Signature Wings,Buffalo,,"8 wings, celery, carrots. Choice of sauce/rub & dressing.",18
Starters,Signature Wings,Mango Habanero,,,18
Starters,Signature Wings,Sriracha Honey,,,18
Starters,Signature Wings,Kickin BBQ,,,18
Starters,Signature Wings,Lemon Pepper (Dry Rub),,,18
Starters,Signature Wings,Old Bay (Dry Rub),,,18
Starters,Nachos,Nachos,,"Mountain of chips. Cheddar, jack and nacho cheeses with beans, sour cream, onions, jalapeños, guacamole, cilantro with a side of Mariano's spicy salsa.",18
Starters,Sliders,Sliders,,3 juicy sliders served your way on a mini brioche bun.,16
Starters,Loaded Fries,Carne Asada,,Pile of fries with your choice of toppings.,18
Starters,Loaded Fries,Buffalo Chicken,,,18
Starters,Loaded Fries,Cheesesteak,,,18
Starters,Loaded Fries,Chili Cheese,,,18
Starters,Loaded Fries,Garlic Parm,,,18
Starters,Loaded Fries,Bacon & Cheese,,,18
Starters,Munchies,Frings,,"Share with the table, or keep for yourself.",12
Starters,Munchies,Mozzarella Sticks,,,12
Starters,Munchies,Pretzel Bites,,,12
Starters,Munchies,Fried Pickle Chips,,,12
Starters,Munchies,Hummus,,,12
Starters,Munchies,Jalapeno Poppers,,,12
Starters,Sample Platter,Sample Platter,,The game time essentials.,36
Salads,,Healthy Hero,,"Spring mix, sprouts, tomato, cucumber, red onion, croutons.",17
Salads,,Caesar,,"Romaine, croutons, parmesan, creamy caesar.",17
Salads,,Cobb,,"Romaine, tomato, red onion, egg, bacon, avocado, blue cheese crumble.",20
Salads,,Antipasto,,"Spring mix, tomato, cold cuts, provolone, parmesan, cherry peppers.",20
Burgers,,Pasadena,The OG,"Lettuce, tomato, pickle, red onion, Hero sauce, cheese, on a brioche bun.",18
Burgers,,Tombstone,Cowboy,"Bacon, grilled onion, cheddar, BBQ sauce, topped with onion rings on a brioche bun.",18
Burgers,,Bethlehem,Steeltown,"Bacon, mushrooms, grilled onions, cheddar cheese on a brioche bun.",18
Burgers,,Minneapolis,Juicy Lucy,"Stuffed cheese patty, grilled onions, cheese skirt, Hero sauce on a brioche bun.",18
Burgers,,Hollywood,Patty Melt,"White American cheese, grilled onions, Hero sauce on toasted rye bread.",18
Burgers,,Leucadia,Smash Burger,"Grilled onion, white American cheese, pickles, Hero sauce on a potato bun.",18
Burgers,,Austin,Jalapeño Burger,"Pepper jack, wiz, jalapeños, onion ring on a brioche bun.",18
Burgers,,Irwindale,Sriracha Honey,"Caramelized onions, pickles, slaw, garlic aioli, Sriracha Honey sauce on a brioche bun.",18
Heroes,Philly Cheesesteak,Classic Philly,,Thin sliced ribeye on an Amoroso roll.,22
Heroes,,Hoboken,Italian,"Capicola, salami, ham, mortadella, provolone, lettuce, tomato, onion, oregano, oil & vinegar, on an Italian roll.",22
Heroes,,Manhattan,Reuben,"Pastrami, pickles, dark ale ground mustard, Russian dressing, sauerkraut, Swiss cheese on rye bread.",22
Heroes,,Los Angeles,French Dip,"Slow-cooked roast beef, Swiss cheese, horseradish aioli, with au jus, on an Italian roll.",22
Heroes,,Carlsbad,BLT+,"Grilled chicken, bacon, avocado, lettuce, tomato, garlic aioli, on a long roll.",20
Heroes,,Carolina,Pulled Pork,"Pulled pork, pickles, slaw, kickin BBQ sauce on a brioche bun.",20
Handhelds,Village Tacos,Village Tacos,,"3 tacos, topped with pickled onion, cilantro, crema, queso fresco. Served with chips and salsa.",16
Handhelds,Dodger Dogs,Dodger Dogs,,2 dodger dogs with your choice of topping.,12
Sweet Stuff,,Key Lime Pie,,Classic key lime pie.,14
Sweet Stuff,,Cheesecake,,Rich and creamy cheesecake.,14
Sweet Stuff,,Churros,,Warm cinnamon sugar churros.,10
Sweet Stuff,,Ice Cream Sandwich,,Ice cream sandwich.,6
Sweet Stuff,,Ice Cream,,Scoop of ice cream.,4
Sweet Stuff,,Chocolate Chip Cookie,,Fresh baked chocolate chip cookie.,3
Kids,,Mac & Cheese,,,12
Kids,,Corn Dog,,,12
Kids,,Chicken Tenders,,,12
Kids,,Burger,,,12
Kids,,Hot Dog,,,12
